2018-03-21 04:05:38,D_Verner,"RT @DrDinD: Please note that school resource officers (SRO) are trained law enforcement officers deployed by local police departments, are…"
2018-03-21 04:05:29,paaige_clark,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 04:04:21,beachgal4trump,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:03:55,BarbL219,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:03:16,lilyforest51,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 04:02:28,TnTEades,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:00:39,nzo11,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 04:00:11,Rick_Ingersoll,RT @SharpestJim: Say WHAT? He killed a murderous coward who was hell-bent on murdering students - and was nearly successful. Message is lou…
2018-03-21 03:58:31,grudgingoptimst,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 03:57:48,GOPgetabackbone,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 03:54:17,Caffeinefreak,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:52:56,jessytayy,RT @jhnya_brown: It’s so scary to think about this happening 3 miles away from my house and me going there next year #StMarys #greatmills h…
2018-03-21 03:50:12,jimbealjr,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:49:14,frespirit01,"RT @MADE__USA: RT to Honor our Hero Armed School Security Officer Blaine Gaskill!!! He's the ""Good Guy with a Gun"" Who Saved Lives Today at…"
2018-03-21 03:47:48,PhilFrantz,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:47:02,Britpoptarts,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:43:23,JJTurnUpdaMusic,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:41:03,Americancrawl,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:40:23,MugsyInTheKitsc,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
2018-03-21 03:39:01,RoselaweenY,"RT @CJPatruno: #GreatMillsHighSchool #GreatMillsMARYLAND
#Maryland #GreatMills

Can we talk about gun control now? https://t.co/gPrDVY9SZM"
2018-03-21 03:38:51,gannepaq,RT @Lady_Star_Gem: Today's incident at #GreatMills High School in Maryland marks the 11th time a gun has been discharged in a K-12 school s…
